"DTI_CL_ANO","Año","DTI_CL_CUT_2010","Región Provincia Comuna","Value","Flag Codes","Flags"
"2010","2010","15101","Arica",90686.7605378,,
"2010","2010","01101","Iquique",179031.09393674,,
"2010","2010","02101","Antofagasta",247666.7656905,,
"2010","2010","02201","Calama",188269.913868666,,
"2010","2010","03101","Copiapó",84217.1501939,,
"2010","2010","04101","La Serena",139028.9990263,,
"2010","2010","04102","Coquimbo",117549.9231341,,
"2010","2010","04301","Ovalle",42631.31887917,,
"2010","2010","05101","Valparaíso",170026.139383985,,
"2010","2010","05103","Concón",39718.400011828,,
"2010","2010","05109","Viña del Mar",303559.331494428,,
"2010","2010","05301","Los Andes",35061.651672646,,
"2010","2010","05601","San Antonio",51162.05581837,,
"2010","2010","05701","San Felipe",28522.433082974,,
"2010","2010","05801","Quilpué",82263.722865398,,
"2010","2010","05804","Villa Alemana",23622.585155848,,
"2010","2010","06101","Rancagua",142792.33054148,,
"2010","2010","06301","San Fernando",28464.57839058,,
"2010","2010","07101","Talca",149366.7517965,,
"2010","2010","07301","Curicó",53486.7109066,,
"2010","2010","07401","Linares",41087.89362856,,
"2010","2010","08101","Concepción",216322.7708945,,
"2010","2010","08102","Coronel",146955.9537199,,
"2010","2010","08103","Chiguayante",69960.5813796,,
"2010","2010","08105","Hualqui",6243.82836315,,
"2010","2010","08106","Lota",14097.231186361,,
"2010","2010","08107","Penco",61752.7937536,,
"2010","2010","08108","San Pedro de la Paz",148963.4701176,,
"2010","2010","08110","Talcahuano",159483.5548076,,
"2010","2010","08111","Tomé",26965.891323447,,
"2010","2010","08112","Hualpén",69707.8921581,,
"2010","2010","08301","Los Ángeles",95040.171245,,
"2010","2010","08401","Chillán",91986.1039385,,
"2010","2010","09101","Temuco",132929.0059517,,
"2010","2010","09112","Padre Las Casas",9083.40661416,,
"2010","2010","09201","Angol",23427.403674442,,
"2010","2010","14101","Valdivia",67695.7289979,,
"2010","2010","10101","Puerto Montt",235290.4594072,,
"2010","2010","10301","Osorno",48754.64805011,,
"2010","2010","11101","Coyhaique",30144.505222771,,
"2010","2010","12101","Punta Arenas",101346.12416935,,
"2010","2010","13101","Santiago",549972.500033474,,
"2010","2010","13102","Cerrillos",175454.8072184,,
"2010","2010","13103","Cerro Navia",36081.02799017,,
"2010","2010","13104","Conchalí",97077.4649538,,
"2010","2010","13105","El Bosque",93244.5733403,,
"2010","2010","13106","Estación Central",142466.975939,,
"2010","2010","13107","Huechuraba",124266.75917867,,
"2010","2010","13108","Independencia",109908.79359578,,
"2010","2010","13109","La Cisterna",164342.017443,,
"2010","2010","13110","La Florida",306784.994828218,,
"2010","2010","13111","La Granja",143208.03321814,,
"2010","2010","13112","La Pintana",155451.2564845,,
"2010","2010","13113","La Reina",131041.012107515,,
"2010","2010","13114","Las Condes",340413.9963909,,
"2010","2010","13115","Lo Barnechea",87110.211517,,
"2010","2010","13116","Lo Espejo",104885.9682335,,
"2010","2010","13117","Lo Prado",46833.916221999,,
"2010","2010","13118","Macul",188049.552891593,,
"2010","2010","13119","Maipú",367538.52245411,,
"2010","2010","13120","Ñuñoa",281262.383878,,
"2010","2010","13121","Pedro Aguirre Cerda",94658.6809415,,
"2010","2010","13122","Peñalolén",192079.79312507,,
"2010","2010","13123","Providencia",316653.92228266,,
"2010","2010","13124","Pudahuel",140973.7679393,,
"2010","2010","13125","Quilicura",230306.8049203,,
"2010","2010","13126","Quinta Normal",116228.1353546,,
"2010","2010","13127","Recoleta",114418.50387151,,
"2010","2010","13128","Renca",182697.2724651,,
"2010","2010","13129","San Joaquín",106213.393345363,,
"2010","2010","13130","San Miguel",148265.3197024,,
"2010","2010","13131","San Ramón",74966.064295182,,
"2010","2010","13132","Vitacura",205571.2916128,,
"2010","2010","13201","Puente Alto",264027.2005374,,
"2010","2010","13301","Colina",157662.8786092,,
"2010","2010","13302","Lampa",102289.50103,,
"2010","2010","13303","Tiltil",506.447409146,,
"2010","2010","13401","San Bernardo",446819.5725742,,
"2011","2011","15101","Arica",90711.50493582,,
"2011","2011","01101","Iquique",174306.5708306,,
"2011","2011","02101","Antofagasta",272585.005334303,,
"2011","2011","02201","Calama",190854.790213926,,
"2011","2011","03101","Copiapó",85050.9896757,,
"2011","2011","04101","La Serena",141420.4062664,,
"2011","2011","04102","Coquimbo",119580.9507087,,
"2011","2011","04301","Ovalle",44524.91464092,,
"2011","2011","05101","Valparaíso",171830.968469768,,
"2011","2011","05103","Concón",40137.045566745,,
"2011","2011","05109","Viña del Mar",307122.423809797,,
"2011","2011","05301","Los Andes",36160.528577279,,
"2011","2011","05601","San Antonio",50650.472302925,,
